Voter ID,Ballot Style ID,Precinct ID,First Name,Middle Name,Last Name,Name Suffix,Street 1,Street 2,City,State,Zip Code
7025533,5,20,Mellisent,Derby,Drydale,,2551 Main Street,"",San Jose,California,95128
4527536,12,20,Gay,Agna,Abisetti,,258 Sugar Point,"",Oklahoma City,Oklahoma,73190
1014002,5,20,Aprilette,Verge,Audiss,,904 Carioca Plaza,"",Albany,New York,12232
4905591,12,23,Jacqueline,Marshal,Luno,,05146 Iowa Alley,"",Des Moines,Iowa,50330
8932085,5,21,Ellswerth,Jacques,Thornton,,227 Talisman Road,"",Lancaster,California,93584
6912480,5,23,Sarette,Ozzie,Goodwell,,672 Sunfield Street,"",Alhambra,California,91841
7401315,12,23,Agnesse,Wiatt,Storror,,830 Bultman Circle,"",Chicago,Illinois,60609
7810067,12,21,Adolphe,Jefferey,Thorlby,,21 Kennedy Point,"",Buffalo,New York,14210
5739000,5,23,Tommie,Perren,Jakeway,,32 Vera Lane,"",Omaha,Nebraska,68117
2049884,7C,21,Murdoch,Daisy,Martt,,9979 Westerfield Terrace,"",Jacksonville,Florida,32215
3494922,7C,21,Dianemarie,Jehanna,Simonot,,59 Union Road,"",Springfield,Massachusetts,01105
5339090,5,23,Flossie,Evy,Bew,III,379 Fairview Park,"",Hartford,Connecticut,06120
9717527,7C,20,Igor,Olivier,Welbourn,,817 Nevada Lane,"",Gainesville,Georgia,30506
2841938,12,21,Isac,Myra,Shurmore,,95 Dahle Place,"",Gainesville,Florida,32627
3633199,12,23,Packston,Nolie,McCarty,,4489 Larry Center,"",Honolulu,Hawaii,96815
8580185,12,21,Aimil,Inna,Prinett,Sr,8 Utah Junction,"",Oklahoma City,Oklahoma,73190
7021544,7C,20,Rudolfo,Effie,Varnam,,9653 Division Avenue,"",Eugene,Oregon,97405
9192201,7C,23,Alejandro,Kat,Buterton,,2 Riverside Terrace,"",New York City,New York,10120
2307845,12,20,Milli,Shannon,Goodlett,Sr,121 Nancy Park,"",Philadelphia,Pennsylvania,19093
5012334,5,21,Lyndsie,Glad,Chamberlin,,91739 Washington Park,"",Bismarck,North Dakota,58505
8583026,5,23,Udell,Dannel,Calyton,,7 Stephen Court,"",New Orleans,Louisiana,70124
6944498,5,21,Wilek,Kittie,Rocca,,22719 Westerfield Center,"",Pasadena,California,91103
3892832,7C,20,Yuma,Farlee,Wiltshear,III,872 Lerdahl Crossing,"",Indianapolis,Indiana,46221
4775909,5,20,Gaven,Cordie,Mehaffey,,931 Raven Junction,"",Minneapolis,Minnesota,55470
8282104,5,23,Bea,Druci,Ajam,,2 Talmadge Circle,"",Wichita,Kansas,67215
5096567,5,20,Phyllis,Clayborne,Tordoff,,35317 Spaight Pass,"",Fort Myers,Florida,33913
3198151,5,20,Marlena,Gerik,Pullar,,0957 Cottonwood Alley,"",Houston,Texas,77266
4808198,7C,20,Pincas,Adlai,Belsey,,77123 Ruskin Point,"",Reno,Nevada,89510
4290450,12,20,Rodolph,Ramon,Peterkin,,3071 Toban Alley,"",West Palm Beach,Florida,33421
1192929,12,23,Glennie,Terrijo,Hazelgrove,,973 Hintze Avenue,"",El Paso,Texas,79945
7053342,5,20,Kelci,Andy,Hudghton,,837 Heath Road,"",Jamaica,New York,11436
3342942,5,23,Helsa,Chryste,Nickels,,813 Dorton Park,"",Raleigh,North Carolina,27605
6255940,12,20,Grady,Mac,Haseldine,,1913 Village Alley,"",Clearwater,Florida,34629
8834885,5,21,Desi,Tyrone,Minto,,0184 Brentwood Plaza,"",Daytona Beach,Florida,32123
8766997,12,21,Shannah,Eldredge,Denzilow,,3 Sundown Alley,"",Indianapolis,Indiana,46239
7335319,12,20,Deeanne,Scott,Elener,,6 Towne Center,"",Saint Louis,Missouri,63104
4092001,5,23,Kesley,Willabella,Anfosso,,5 Shoshone Drive,"",Delray Beach,Florida,33448
9046967,5,23,Dore,Emeline,Treagus,,4 Brentwood Trail,"",Wichita,Kansas,67210
4654118,7C,23,Donetta,Baillie,Reace,,59383 Towne Street,"",Tucson,Arizona,85748
1799728,5,20,Corny,Tobie,Stopforth,,4 Rowland Alley,"",Arlington,Virginia,22225
6978830,12,23,Starlene,Colline,Cake,IV,318 Prairieview Parkway,"",Las Vegas,Nevada,89193
7253473,7C,23,Brianne,Dosi,Norcliff,,0949 Heffernan Point,"",Ridgely,Maryland,21684
6402014,5,21,Bertrando,Clio,Dumingos,,78024 4th Pass,"",Mesquite,Texas,75185
6487702,7C,20,Bevan,Patrizio,Hannent,,715 Westport Drive,Unit #75,Charlotte,North Carolina,28210
1117102,12,21,Arman,Rania,Farloe,,8 Eagle Crest Way,"",Salt Lake City,Utah,84199
3453864,12,23,Adrianne,Marie-ann,Andri,,2287 Vermont Hill,"",Palatine,Illinois,60078
2910231,12,20,Yolane,Oran,Pighills,III,454 Northfield Pass,"",Seattle,Washington,98104
5956772,12,23,Jessee,Rubi,Cristofolini,,01647 Declaration Way,Apartment 3,Austin,Texas,78744
8571553,7C,23,Ronni,Lew,Goodlake,,953 Ridgeview Drive,"",Albany,New York,12210
4802460,7C,21,Meagan,Teddy,Monument,Jr,129 Darwin Way,"",Arlington,Virginia,22244
3939061,12,21,Stanford,Shalom,Marnane,,424 Reinke Terrace,"",Sacramento,California,94297
5973026,7C,23,Amble,Guillermo,Gerholz,,577 Village Green Point,Apartment 3,Everett,Washington,98206
2493680,7C,21,Ganny,Glynis,Masterson,,8390 Schiller Crossing,Apartment 3,Canton,Ohio,44720
8737509,7C,20,Griffith,Lynde,Broadberrie,,83342 Loftsgordon Park,"",New Orleans,Louisiana,70187
7905246,5,21,Inger,Cherilynn,Le Strange,,7 Bobwhite Alley,"",Gainesville,Georgia,30506
4385216,7C,20,Lee,Sax,Bruyns,Sr,6 Bobwhite Trail,"",Garden Grove,California,92844
4151635,12,23,Elsie,Bucky,Hagstone,,171 Linden Lane,"",Portland,Oregon,97232
9475657,12,20,Kaitlyn,Mackenzie,Duthie,,16 Hollow Ridge Parkway,"",Detroit,Michigan,48275
2527747,5,20,Artur,Aggi,Sorrel,,97951 Mcbride Place,"",Las Vegas,Nevada,89178
3800269,12,23,Julietta,Aubry,Fyfe,,4936 Sauthoff Alley,"",Los Angeles,California,90010
6723210,5,20,Wilmar,Orrin,Magill,,61451 Derek Trail,"",Salt Lake City,Utah,84145
5245962,7C,21,Lib,Dane,Gyorffy,,9 Lunder Street,"",Huntsville,Alabama,35810
6311981,12,23,Georgy,Herbert,Snowden,Sr,3682 Schmedeman Park,"",New York City,New York,10170
4211627,12,20,Cloe,Margi,Degan,,20 Meadow Valley Place,"",Salt Lake City,Utah,84125
5157530,7C,21,Niels,Patricio,Jardin,,55806 Menomonie Lane,"",Portsmouth,New Hampshire,03804
2115186,12,20,Gaye,Giffard,Leban,,64 Center Lane,"",Elizabeth,New Jersey,07208
6735301,7C,20,Lesley,Sallie,Noir,,487 Coolidge Pass,"",El Paso,Texas,79911
5511987,7C,23,Elfie,Almeta,Surpliss,,0023 Scott Parkway,"",Santa Monica,California,90405
5011744,12,21,Aleta,Rosalie,Guslon,,26 Gerald Street,"",West Hartford,Connecticut,06127
5943989,7C,20,Florina,Ambrosius,Markovich,,3380 Chinook Pass,"",Staten Island,New York,10305
5144578,12,21,Remus,Melinde,Pringle,,689 Tony Street,"",Washington,District of Columbia,20404
9316502,7C,23,Savina,Shel,Huie,,40 Meadow Vale Crossing,"",Louisville,Kentucky,40205
9635520,12,23,Leigha,Elwin,Manuely,,135 Graedel Crossing,"",Ventura,California,93005
2549168,5,20,Homer,Vittorio,Bridgwater,,32 Atwood Avenue,Unit #75,Orlando,Florida,32813
4528669,5,23,Claudina,Marvin,Shemelt,,2462 Loeprich Street,"",Tulsa,Oklahoma,74116
9735682,12,20,Tamas,Wallace,Mountfort,,97 Hovde Road,"",Cleveland,Ohio,44185
3949293,5,20,Amandy,Maurita,Mara,,62221 Hollow Ridge Street,Unit #75,Reno,Nevada,89595
5717611,7C,21,Kelbee,Alys,Headley,,27335 Kingsford Place,"",Portland,Oregon,97201
2696221,12,23,Georgie,Fons,McAllen,,98 Bunker Hill Parkway,"",Oklahoma City,Oklahoma,73142
8241536,12,23,Jasper,Babb,Chedgey,,0537 Pleasure Lane,"",Portland,Oregon,97211
3776397,12,21,Davina,Amandy,Schroter,,95 Nova Way,"",Scottsdale,Arizona,85271
1294510,7C,21,Eadie,Caprice,Whorton,,4163 Straubel Street,"",Springfield,Illinois,62718
6803692,7C,20,Feliza,Galvan,Byles,Sr,13148 Dunning Park,"",Oceanside,California,92056
2495596,7C,20,Carri,Jaimie,Yeomans,,8 Hovde Terrace,"",Reading,Pennsylvania,19610
9798864,5,23,Shay,Hagan,Korneichuk,,17091 Spenser Avenue,"",Denver,Colorado,80217
3361168,7C,23,Dinah,Walt,Hogsden,,417 Springview Junction,"",Indianapolis,Indiana,46266
